city,blood_type,quantity,qValue,date
Poznań,0 Rh-,Very low,5,29-08-2022
Poznań,A Rh+,Optimal,90,29-08-2022
Poznań,A Rh-,Optimal,90,29-08-2022
Poznań,B Rh+,Optimal,90,29-08-2022
Poznań,B Rh-,Optimal,90,29-08-2022
Poznań,AB Rh+,Optimal,90,29-08-2022
Poznań,AB Rh-,Optimal,90,29-08-2022
Racibórz,0 Rh+,Optimal,90,29-08-2022
Racibórz,0 Rh-,Medium,50,29-08-2022
Racibórz,A Rh+,Optimal,90,29-08-2022
Racibórz,A Rh-,Medium,50,29-08-2022
Racibórz,B Rh+,Optimal,90,29-08-2022
Racibórz,B Rh-,Medium,50,29-08-2022
Racibórz,AB Rh+,Optimal,90,29-08-2022
Racibórz,AB Rh-,Medium,50,29-08-2022
Radom,0 Rh+,Very low,5,29-08-2022
Radom,0 Rh-,Medium,50,29-08-2022
Radom,A Rh+,Optimal,90,29-08-2022
Radom,A Rh-,Very low,5,29-08-2022
Radom,B Rh+,Medium,50,29-08-2022
Radom,B Rh-,Very low,5,29-08-2022
Radom,AB Rh+,Optimal,90,29-08-2022
Radom,AB Rh-,Very low,5,29-08-2022
Rzeszów,0 Rh+,Medium,50,29-08-2022
Rzeszów,0 Rh-,Medium,50,29-08-2022
Rzeszów,A Rh+,Full,100,29-08-2022
Rzeszów,A Rh-,Medium,50,29-08-2022
Rzeszów,B Rh+,Full,100,29-08-2022
Rzeszów,B Rh-,Medium,50,29-08-2022
Rzeszów,AB Rh+,Full,100,29-08-2022
Rzeszów,AB Rh-,Optimal,90,29-08-2022
Słupsk,0 Rh+,Medium,50,29-08-2022
Słupsk,0 Rh-,Very low,5,29-08-2022
Słupsk,A Rh+,Full,100,29-08-2022
Słupsk,A Rh-,Very low,5,29-08-2022
Słupsk,B Rh+,Optimal,90,29-08-2022
Słupsk,B Rh-,Medium,50,29-08-2022
Słupsk,AB Rh+,Full,100,29-08-2022
Słupsk,AB Rh-,Full,100,29-08-2022
Szczecin,0 Rh+,Medium,50,29-08-2022
Szczecin,0 Rh-,Very low,5,29-08-2022
Szczecin,A Rh+,Optimal,90,29-08-2022
Szczecin,A Rh-,Very low,5,29-08-2022
Szczecin,B Rh+,Optimal,90,29-08-2022
Szczecin,B Rh-,Optimal,90,29-08-2022
Szczecin,AB Rh+,Optimal,90,29-08-2022
Szczecin,AB Rh-,Medium,50,29-08-2022
Wałbrzych,0 Rh+,Medium,50,29-08-2022
Wałbrzych,0 Rh-,Very low,5,29-08-2022
Wałbrzych,A Rh+,Full,100,29-08-2022
Wałbrzych,A Rh-,Very low,5,29-08-2022
